,Explained Variance,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
Dimension 1,0.9848,-0.0043,-0.0015,0.011,0.0024,-0.0051,-0.007,-0.0053,-0.011,0.0153,0.0057,-0.0218,0.0097,-0.0152,-0.0042,-0.0041,-0.0087,-0.0078,-0.0125,-0.0093,-0.0218,-0.0211,-0.0211,-0.0221,-0.0017,-0.001,-0.0012,-0.0045,-0.0163,-0.0009,-0.0019,0.0227,0.008,0.0211,0.0228,0.0202,0.0236,-0.0004,-0.0004,-0.0014,0.0182,0.9966,-0.001
Dimension 2,0.0102,0.0429,-0.0682,0.0098,-0.0557,0.0859,0.1188,0.0683,0.1712,-0.1635,-0.0412,0.3041,-0.1037,0.2128,0.0785,0.0814,0.0855,0.1191,0.1866,0.1546,0.3894,0.373,0.3731,0.3903,0.0253,0.0148,0.0175,0.008,0.2386,0.0114,0.0261,-0.0174,-0.1111,-0.0143,-0.0357,-0.0488,-0.0405,0.005,0.005,0.0189,-0.0221,0.0652,-0.0179
Dimension 3,0.0013,0.1864,0.0244,-0.0817,-0.0204,-0.0428,-0.1221,-0.0166,-0.2009,-0.254,0.2436,0.0601,-0.1504,-0.4509,-0.0282,-0.1087,0.3124,0.2173,0.2709,0.1133,0.0711,0.049,0.0497,0.0513,0.0694,0.0413,0.0478,0.0379,-0.3067,0.0114,-0.0046,-0.0565,0.3982,-0.0851,0.0436,0.0554,0.0503,0.006,0.006,0.0202,-0.0811,0.0035,0.0512
Dimension 4,0.0008,0.149,-0.1297,0.1868,0.0966,-0.036,-0.0035,-0.0715,0.0647,-0.4235,-0.3548,0.1281,-0.3675,0.1602,-0.067,-0.0337,0.3205,0.03,0.0761,0.0426,-0.2075,-0.2032,-0.2027,-0.2103,-0.0031,-0.002,-0.0019,-0.1403,0.1696,0.0104,0.052,-0.1041,-0.1362,0.0167,-0.0272,-0.0227,-0.0947,0.0025,0.0025,0.0182,-0.0253,0.0112,0.2123
Dimension 5,0.0006,0.0369,0.0932,-0.5231,0.0283,0.0694,0.0353,0.1106,0.0153,-0.0661,-0.0809,-0.0723,-0.02,0.036,0.0509,0.0304,0.0366,-0.0686,-0.0364,-0.0737,-0.0091,-0.0376,-0.0382,-0.0393,-0.0135,-0.0071,-0.0102,0.2055,-0.0139,-0.0371,-0.0891,-0.0607,-0.037,-0.3475,-0.3715,-0.4088,-0.1566,-0.0097,-0.0097,-0.0665,-0.3749,0.0411,0.063
Dimension 6,0.0004,-0.0389,-0.0458,0.2737,0.0639,-0.1124,-0.0783,-0.0298,-0.0002,0.0533,0.3857,0.526,0.1261,0.1254,-0.0854,-0.1624,-0.165,0.1803,0.0624,0.061,-0.1531,-0.1267,-0.1257,-0.1293,0.0651,0.0368,0.0466,0.1399,0.1336,0.0315,0.0253,-0.1289,-0.0134,-0.1886,-0.1177,-0.096,-0.0818,-0.0214,-0.0214,0.0493,-0.2121,0.0135,-0.2955
Dimension 7,0.0003,0.3916,-0.0377,0.0484,0.0545,0.2456,0.1152,0.368,0.0784,-0.0899,0.0357,-0.0864,0.0896,0.0087,0.1687,0.0773,0.025,0.0214,0.1253,0.0373,-0.0966,-0.0818,-0.0811,-0.0832,-0.022,-0.0126,-0.0155,0.6353,0.0232,-0.0011,0.0127,-0.0321,-0.0804,0.1819,0.0894,0.0499,0.018,-0.0004,-0.0004,-0.0003,0.2071,-0.0064,-0.1347
Dimension 8,0.0003,0.0972,-0.0983,0.4529,-0.073,0.0927,0.0832,0.0439,0.0622,0.1602,-0.0914,-0.3545,0.0888,-0.145,0.0501,0.1809,-0.0178,-0.0676,-0.015,0.1564,0.0402,0.0437,0.0434,0.0438,-0.0438,-0.0306,-0.0251,-0.0532,0.0039,0.0952,0.3133,-0.3585,0.1428,-0.1795,-0.1069,0.0188,-0.2406,0.0015,0.0015,0.1499,-0.3176,0.0149,0.0229
Dimension 9,0.0002,0.3457,0.3233,-0.2071,0.0304,0.1243,0.1453,-0.0486,0.1773,0.046,0.2396,-0.1328,-0.0062,0.0213,-0.0387,0.1936,-0.0005,0.0681,0.1712,0.3186,-0.0735,-0.1018,-0.1006,-0.1013,-0.0214,-0.0119,-0.0161,-0.462,0.2026,-0.0112,0.1087,0.1414,-0.0282,-0.013,-0.0478,-0.0078,0.0699,0.0352,0.0352,-0.0153,0.0447,-0.0017,-0.2709
Dimension 10,0.0002,0.2572,-0.6742,0.005,0.0888,0.1722,0.0622,0.0331,-0.0008,0.0095,0.1898,-0.0108,-0.0205,0.052,0.0722,0.081,-0.0623,-0.1378,-0.019,-0.1907,0.065,-0.0167,-0.0179,-0.0168,0.0087,0.0058,0.0059,-0.2958,-0.0808,-0.11,-0.361,0.0155,0.1224,-0.0152,-0.0379,-0.0006,-0.122,0.0389,0.0389,-0.1906,-0.0131,-0.0026,-0.1143
