,Explained Variance,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
Dimension 1,0.9853,-0.0043,-0.0015,0.011,0.0024,-0.0051,-0.007,-0.0053,-0.011,0.0057,-0.0218,0.0097,-0.0152,-0.0042,-0.0041,-0.0087,-0.0078,-0.0125,-0.0093,-0.0218,-0.0211,-0.0211,-0.0221,-0.0017,-0.001,-0.0012,-0.0045,-0.0163,-0.0009,-0.0019,0.0227,0.008,0.0211,0.0228,0.0202,0.0236,-0.0004,-0.0004,-0.0014,0.0182,0.9967,-0.001
Dimension 2,0.0099,0.0413,-0.0686,0.0098,-0.057,0.0874,0.1211,0.0694,0.1743,-0.0409,0.307,-0.1016,0.2172,0.08,0.0834,0.0827,0.1194,0.1869,0.156,0.3953,0.3788,0.3789,0.3964,0.0253,0.0148,0.0175,0.0083,0.2426,0.0115,0.0264,-0.0169,-0.1139,-0.0142,-0.0362,-0.0495,-0.0409,0.005,0.005,0.019,-0.0219,0.0635,-0.0197
Dimension 3,0.0012,0.1609,0.0419,-0.1045,-0.0399,-0.0361,-0.1177,-0.0057,-0.2059,0.3052,0.0503,-0.0884,-0.4728,-0.0155,-0.0998,0.2599,0.219,0.2646,0.1156,0.1197,0.0968,0.0975,0.101,0.0714,0.0425,0.0492,0.0557,-0.3267,0.0111,-0.0092,-0.0415,0.4205,-0.0882,0.0492,0.0614,0.0646,0.0061,0.0061,0.0196,-0.078,0.0007,0.0136
Dimension 4,0.0007,0.1936,-0.1646,0.309,0.0824,-0.0682,-0.0334,-0.1139,0.0305,-0.286,0.2056,-0.4193,0.0582,-0.0898,-0.0617,0.4166,0.1258,0.1743,0.1242,-0.1693,-0.1645,-0.1635,-0.1695,0.0233,0.0132,0.0168,-0.2075,0.1304,0.0274,0.09,-0.1334,-0.0297,0.0401,0.0416,0.0638,-0.0739,0.0073,0.0073,0.0476,-0.0051,0.0039,0.2193
Dimension 5,0.0006,0.0852,0.0544,-0.4586,0.0469,0.0512,0.0261,0.0822,0.021,-0.14,-0.0138,-0.1205,0.043,0.0285,0.0143,0.1418,-0.0304,0.0121,-0.0367,-0.045,-0.0733,-0.0737,-0.076,-0.0053,-0.0024,-0.0042,0.1563,0.0153,-0.0298,-0.066,-0.1014,-0.0344,-0.3584,-0.3766,-0.4074,-0.1826,-0.008,-0.008,-0.0541,-0.3992,0.0435,0.1145
Dimension 6,0.0004,0.0518,0.0355,-0.2679,-0.0604,0.1062,0.0765,0.0174,0.0021,-0.4103,-0.5151,-0.1606,-0.1279,0.0781,0.1611,0.2036,-0.1694,-0.0479,-0.0464,0.1473,0.1195,0.1186,0.1219,-0.0628,-0.0355,-0.0449,-0.165,-0.1266,-0.0293,-0.0165,0.1113,0.0193,0.17,0.1033,0.0848,0.0664,0.0222,0.0222,-0.0457,0.1867,-0.0115,0.3197
Dimension 7,0.0003,0.4273,-0.0542,0.07,0.054,0.2539,0.1246,0.3667,0.0878,-0.0032,-0.1071,0.0552,-0.006,0.1703,0.0935,0.0754,0.0304,0.1464,0.0675,-0.0992,-0.086,-0.0851,-0.0874,-0.0233,-0.0137,-0.0161,0.6144,0.0301,0.0049,0.0387,-0.0645,-0.0674,0.1651,0.0764,0.045,-0.0062,0.002,0.002,0.0094,0.1785,-0.0044,-0.1034
Dimension 8,0.0002,0.0538,0.1396,-0.4995,0.0886,-0.0451,-0.0349,-0.0334,-0.0072,0.1002,0.3298,-0.1378,0.1398,-0.0478,-0.125,0.0991,0.1134,0.0979,-0.0422,-0.0732,-0.083,-0.0822,-0.083,0.0415,0.0294,0.0233,-0.0234,0.0549,-0.0969,-0.276,0.3683,-0.1462,0.1788,0.0932,-0.0261,0.2403,0.0104,0.0104,-0.1514,0.3266,-0.0141,-0.0477
Dimension 9,0.0002,0.3252,0.3101,-0.0843,0.0063,0.1364,0.1557,-0.0464,0.1818,0.2362,-0.2267,0.0436,-0.0112,-0.0303,0.2304,-0.0507,0.0313,0.1396,0.3285,-0.0526,-0.0796,-0.0786,-0.079,-0.034,-0.0207,-0.0235,-0.4794,0.1922,0.0135,0.1812,0.057,0.0075,-0.06,-0.0729,0.0005,0.0148,0.0325,0.0325,0.0231,-0.0377,0.0015,-0.2806
Dimension 10,0.0002,0.2561,-0.6707,0.0086,0.0884,0.1731,0.0624,0.033,-0.0007,0.1926,-0.0147,-0.0178,0.052,0.0721,0.0823,-0.0673,-0.1411,-0.0209,-0.1927,0.0662,-0.0158,-0.017,-0.0159,0.008,0.0054,0.0054,-0.2984,-0.0811,-0.1094,-0.3596,0.0139,0.1232,-0.0163,-0.0386,0.0001,-0.1227,0.0387,0.0387,-0.1898,-0.0151,-0.0025,-0.1177
